300PL2CA,01-01-2020,00:07:39,ANPR1.1,50.758 -7.554,Ford,C200,GREEN,53 
2QSUOJ13,01-01-2020,00:39:02,ANPR1.1,51.473 -7.61,Audi,C200,RED,34 
85Y7YCBR,01-01-2020,00:41:31,ANPR1.1,51.37 -7.582,BMW,Mustang,GREEN,34 
G4P8DRUM,01-01-2020,00:45:16,ANPR1.1,50.955 -7.475,Toyota,Polo,SILVER,51 
63JJN11X,01-01-2020,00:56:56,ANPR1.1,51.43 -7.657,Toyota,Mustang,BLACK,50 
PQTCZNTT,01-01-2020,01:00:19,ANPR1.1,51.185 -7.587,Ford,321,WHITE,52 
CPZKEPIT,01-01-2020,01:00:39,ANPR1.1,51.224 -7.445,Mercedes,321,RED,37 
OSRW53IG,01-01-2020,01:08:49,ANPR1.1,51.429 -7.582,BMW,Camry,BLACK,43 
0CR2H2WG,01-01-2020,01:17:47,ANPR1.1,50.806 -7.531,Volkswagen,C200,RED,31 
SXZJ5JWK,01-01-2020,01:22:45,ANPR1.1,51.497 -7.552,Audi,A3,WHITE,33 
V4L9LDJJ,01-01-2020,01:25:49,ANPR1.1,51.545 -7.619,Ford,C200,GREEN,29 
XGN0CB8N,01-01-2020,01:33:50,ANPR1.1,51.219 -7.636,Volkswagen,C200,BLACK,34 
4LWIN8S8,01-01-2020,01:35:24,ANPR1.1,50.904 -7.564,Mercedes,A3,WHITE,70 
EZD2ZH4W,01-01-2020,01:42:58,ANPR1.1,51.345 -7.514,Audi,321,BLACK,37 
MRDKINAC,01-01-2020,01:54:13,ANPR1.1,51.163 -7.496,Toyota,Camry,WHITE,54 
4HAEEWDY,01-01-2020,02:08:47,ANPR1.1,50.922 -7.45,Ford,321,GREEN,41 
ROGCEI5B,01-01-2020,02:16:13,ANPR1.1,50.989 -7.598,Mercedes,C200,SILVER,22 
Y76GGRZC,01-01-2020,02:20:44,ANPR1.1,50.901 -7.59,Audi,Mustang,GREEN,22 
N39KUNTB,01-01-2020,02:39:49,ANPR1.1,50.709 -7.513,Mercedes,C200,BLACK,20 
9SM77ZM7,01-01-2020,02:39:50,ANPR1.1,51.474 -7.479,BMW,A3,WHITE,51 
K4NHR15R,01-01-2020,02:41:12,ANPR1.1,51.07 -7.488,Mercedes,A3,BLACK,23 
Y4XVJDLH,01-01-2020,02:42:38,ANPR1.1,50.927 -7.465,BMW,Polo,RED,63 
A3M7WQGW,01-01-2020,02:43:07,ANPR1.1,50.936 -7.539,Mercedes,Camry,GREEN,22 
