IF2L8NZY,03-01-2020,00:05:08,ANPR1.1,50.668 -7.564,Audi,Polo,RED,40 
H797TEEQ,03-01-2020,00:10:09,ANPR1.1,51.394 -7.507,Volkswagen,C200,GREEN,56 
C77F6FPI,03-01-2020,00:17:55,ANPR1.1,50.9 -7.61,Ford,C200,WHITE,27 
Y8D4C6NL,03-01-2020,00:18:25,ANPR1.1,51.374 -7.536,Ford,Mustang,GREEN,23 
CU8BVWLM,03-01-2020,00:19:31,ANPR1.1,51.408 -7.577,Volkswagen,321,GREEN,56 
7KIQWUMD,03-01-2020,00:42:03,ANPR1.1,51.442 -7.57,Toyota,Camry,SILVER,31 
BIFIKS8O,03-01-2020,00:46:10,ANPR1.1,51.339 -7.508,BMW,C200,WHITE,56 
ZV3XDM2D,03-01-2020,01:09:33,ANPR1.1,50.783 -7.497,Volkswagen,C200,RED,41 
7TL06YZE,03-01-2020,01:15:54,ANPR1.1,50.741 -7.48,Ford,Camry,GREEN,24 
U05U92UM,03-01-2020,01:19:02,ANPR1.1,50.827 -7.489,Mercedes,Polo,WHITE,41 
CIP5I849,03-01-2020,01:28:51,ANPR1.1,51.481 -7.649,Audi,C200,GREEN,70 
8YI4R4C2,03-01-2020,01:33:38,ANPR1.1,51.141 -7.56,Volkswagen,Camry,SILVER,63 
NV00J0KE,03-01-2020,01:34:00,ANPR1.1,51.262 -7.517,Toyota,C200,WHITE,44 
X4GW9Y70,03-01-2020,01:34:40,ANPR1.1,51.145 -7.555,Volkswagen,321,BLACK,25 
76U5OA4N,03-01-2020,01:40:12,ANPR1.1,51.428 -7.481,BMW,Camry,BLACK,48 
K4C7PY26,03-01-2020,01:50:51,ANPR1.1,51.383 -7.59,Ford,A3,RED,32 
LBKXQMQ6,03-01-2020,01:53:01,ANPR1.1,51.14 -7.445,BMW,C200,GREEN,45 
YAAG99PA,03-01-2020,01:55:43,ANPR1.1,51.517 -7.683,Audi,Mustang,RED,50 
M782YYAB,03-01-2020,02:00:27,ANPR1.1,51.442 -7.586,Mercedes,A3,BLACK,44 
FB6P7Z1L,03-01-2020,02:24:11,ANPR1.1,51.481 -7.633,BMW,Polo,SILVER,61 
BCT3LF7Q,03-01-2020,02:27:32,ANPR1.1,50.99 -7.441,Toyota,Mustang,BLACK,47 
VV56DBJ4,03-01-2020,02:32:21,ANPR1.1,50.724 -7.48,Audi,Camry,RED,45 
NW0T0R7A,03-01-2020,03:07:43,ANPR1.1,50.795 -7.484,Mercedes,A3,SILVER,39 
PRW1XKWQ,03-01-2020,03:10:39,ANPR1.1,51.301 -7.56,Audi,C200,BLUE,39 
MZKI992X,03-01-2020,03:11:00,ANPR1.1,51.039 -7.57,Mercedes,Polo,SILVER,44 
V9EQHU3Z,03-01-2020,03:25:03,ANPR1.1,50.976 -7.417,Audi,A3,BLUE,59 
3TLOY00W,03-01-2020,03:37:14,ANPR1.1,50.689 -7.58,BMW,A3,BLACK,28 
2WM7EZNR,03-01-2020,03:40:36,ANPR1.1,50.909 -7.618,Audi,321,BLUE,27 
FFXQ7VBI,03-01-2020,04:22:10,ANPR1.1,51.222 -7.471,Volkswagen,C200,BLUE,68 
